6300101;ARROZ (POLIDO, PARBOILIZADO, AGULHA, AGULHINHA, ETC);99;NAO SE APLICA;8;Arroz, tipo 1, cozido (99,02g) + Oil, soybean, unhydrogenated (0,98ml);135,62;2,5;1,2;27,78;1,55;3,51;2,23;0,29;17,77;0,08;1,19;382;14,53;0,01;0,49;0,45;-;-;-;-;-;-;-;-;-;-;0,08;-;-;0,35;0,22;0,56;0,56;0,07;0,01;-;-
6300201;ARROZ INTEGRAL;99;NAO SE APLICA;8;Arroz, integral, cozido (99,02g) + Oil, soybean, unhydrogenated (0,98ml);130,95;2,56;1,97;25,56;2,72;5,15;58,13;0,62;104,82;0,26;1,23;282;74,42;0,02;0,68;0,45;-;-;0,08;-;-;-;0,08;-;-;-;0,08;-;-;0,45;0,62;0,86;0,8;0,08;0,01;-;-
6300701;MILHO (EM GRAO);1;CRU(A);1;Corn, cooked from fresh, cob, no fat or salt added;160,14;3,32;7,18;25,11;4,25;3,15;26,01;0,16;75;0,45;244,96;245;212,05;0,05;0,61;2,9;-;13,17;0,22;0,07;1,61;2;0,06;-;46;-;0,57;6,2;-;1,12;1,72;4,01;3,59;0,42;0,03;3,16;-
6300701;MILHO (EM GRAO);2;COZIDO(A);1;Corn, cooked from fresh, cob, no fat or salt added;160,14;3,32;7,18;25,11;4,25;3,15;26,01;0,16;75;0,45;244,96;245;212,05;0,05;0,61;2,9;-;13,17;0,22;0,07;1,61;2;0,06;-;46;-;0,57;6,2;-;1,12;1,72;4,01;3,59;0,42;0,03;3,16;-
6300701;MILHO (EM GRAO);3;GRELHADO(A)/BRASA/CHURRASCO;1;Corn, cooked from fresh, cob, no fat or salt added;160,14;3,32;7,18;25,11;4,25;3,15;26,01;0,16;75;0,45;244,96;245;212,05;0,05;0,61;2,9;-;13,17;0,22;0,07;1,61;2;0,06;-;46;-;0,57;6,2;-;1,12;1,72;4,01;3,59;0,42;0,03;3,16;-
6300701;MILHO (EM GRAO);4;ASSADO(A);1;Corn, cooked from fresh, cob, no fat or salt added;160,14;3,32;7,18;25,11;4,25;3,15;26,01;0,16;75;0,45;244,96;245;212,05;0,05;0,61;2,9;-;13,17;0,22;0,07;1,61;2;0,06;-;46;-;0,57;6,2;-;1,12;1,72;4,01;3,59;0,42;0,03;3,16;-
6300701;MILHO (EM GRAO);7;REFOGADO(A);1;Corn, cooked from fresh, cob, topped with fat, no salt added;160,14;3,32;7,18;25,11;4,25;3;26;0,16;75;0,44;-;245;212;0,05;0,61;2,9;-;13,17;0,22;0,07;1,61;2;0,06;-;46;-;0,57;6,2;-;1,12;1,72;4,01;3,59;0,42;0,03;3,16;-
6300701;MILHO (EM GRAO);13;ENSOPADO;1;Corn, cooked from fresh, cob, topped with fat, no salt added;160,14;3,32;7,18;25,11;4,25;3;26;0,16;75;0,44;-;245;212;0,05;0,61;2,9;-;13,17;0,22;0,07;1,61;2;0,06;-;46;-;0,57;6,2;-;1,12;1,72;4,01;3,59;0,42;0,03;3,16;-
6300701;MILHO (EM GRAO);99;NAO SE APLICA;1;Corn, cooked from fresh, cob, no fat or salt added;160,14;3,32;7,18;25,11;4,25;3,15;26,01;0,16;75;0,45;244,96;245;212,05;0,05;0,61;2,9;-;13,17;0,22;0,07;1,61;2;0,06;-;46;-;0,57;6,2;-;1,12;1,72;4,01;3,59;0,42;0,03;3,16;-
6300706;CANJIQUINHA DE MILHO EM GRAO;1;CRU(A);1;Cereal, cooked, cornmeal, no fat or salt added;79,68;1,24;2,2;13,5;0,67;3,45;6,93;0,03;17,91;0,74;131,5;126;25,96;0,02;0,13;2,85;-;1,83;0,11;0,07;0,91;1,02;0,03;-;20,81;-;0,18;-;-;0,33;0,49;1,22;1,09;0,13;0,01;0,29;-
